epoch,loss
1,7.689
2,5.631
3,4.685
4,4.074
5,3.537
6,3.094
7,2.714
8,2.394
9,1.987
10,1.658
11,1.301
12,0.999
13,0.774
14,0.601
15,0.439
16,0.387
17,0.267
18,0.278
19,0.297
20,0.228
21,0.227
22,0.236
23,0.179
24,0.188
25,0.246
26,0.163
27,0.269
28,0.179
29,0.180
30,0.132
31,0.105
32,0.252
33,0.163
34,0.146
35,0.204
36,0.144
37,0.158
38,0.141
39,0.163
40,0.164
41,0.109
42,0.092
43,0.077
44,0.187
45,0.132
46,0.141
47,0.216
48,0.137
49,0.115
50,0.077
51,0.092
52,0.124
53,0.152
54,0.095
55,0.120
56,0.117
57,0.150
58,0.124
59,0.088
60,0.067
61,0.083
62,0.186
63,0.120
64,0.111
65,0.069
66,0.090
67,0.116
68,0.150
69,0.082
70,0.127
71,0.092
72,0.088
73,0.109
74,0.080
75,0.136
76,0.107
77,0.077
78,0.125
79,0.099
80,0.065
81,0.108
82,0.145
83,0.075
84,0.049
85,0.050
86,0.064
87,0.145
88,0.194
89,0.078
90,0.049
91,0.075
92,0.101
93,0.101
94,0.063
95,0.113
96,0.130
97,0.064
98,0.078
99,0.031
100,0.051
